route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,normal_day_time_min,morning_traffic_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.723142135,23.00399239,0.964189513,0.964189513,1.239672231,Late,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.45730886,23.72713452,0.609745147,0.609745147,0.783958046,Late,Very Short,Very Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.778565023,24.18444338,1.038086697,1.038086697,1.334682896,Late,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.558776112,24.96300841,0.745034816,0.745034816,0.957901907,Late,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.545007411,25.52178452,0.726676548,0.726676548,0.934298419,Late,Very Short,Close,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0,26.06679193,0,0,0,Late,Very Short,,normal_day
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.984563544,0,1.663411095,1.293476745,1.66304153,Start,Very Short,Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.322248859,0.984563544,5.720276679,4.448115614,5.719005789,Start,Medium,Far,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.246192687,4.306812403,0.414092308,0.322000239,0.414000308,Start,Very Short,Very Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.335306543,4.55300509,0.549817307,0.427540674,0.549695152,Start,Very Short,Very Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.383821771,4.888311633,0.662782177,0.515382719,0.662634924,Start,Very Short,Very Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.553450405,5.272133403,0.955695873,0.743153867,0.955483543,Start,Very Short,Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.228813219,5.825583808,2.011698085,1.564306442,2.01125114,Start,Short,Medium,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.224168177,7.054397028,0.375723405,0.29216439,0.375639929,Early,Very Short,Very Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.527422992,7.278565204,0.917273719,0.713276609,0.917069926,Early,Very Short,Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.420617463,7.805988196,0.709667624,0.551841076,0.709509955,Early,Very Short,Very Close,morning_traffic
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.704346164,8.226605659,1.224745957,0.952368552,1.224473852,Early,Very Short,Close,morning_traffic
