route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.7785650226464954,24.18444338386466,1.8685560543515891,Late,Very Short,Close,normal
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.5587761121784696,24.963008406511157,1.341062669228327,Late,Very Short,Close,normal
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.5450074108193256,25.52178451868963,1.3080177859663813,Late,Very Short,Close,normal
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.0,26.066791929508955,0.0,Late,Very Short,,normal
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.9942008667886283,0.0,3.7252130267986967,Start,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.3130236255076158,0.9942008667886283,12.8105729678997,Start,Long,Far,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.2493210244837344,4.307224492296244,0.9273606895521365,Start,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.34507390105698327,4.556545516779979,1.2313171415912898,Start,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.38201159156299097,4.901619417836962,1.4843022304199962,Start,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.5508404081847201,5.283631009399953,2.1402831364583252,Start,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.2658688111489529,5.834471417584672,4.505202554301501,Start,Short,Medium,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.22753143334497505,7.100340228733625,0.8414334417704394,Early,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.5224000154854609,7.3278716620786,2.0542366335696807,Early,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.42510856645169587,7.850271677564061,1.5893022989451642,Early,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.6977259973268104,8.275380244015757,2.742821428647984,Early,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.7372427560302977,8.973106241342567,2.898508260039828,Early,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.7960182745647255,9.710348997372865,6.814270357589177,Early,Medium,Medium,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.1840828100994487,11.50636727193759,5.027863595264575,Early,Medium,Medium,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.7789278185422,12.690450082037039,3.273400136633537,Early,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,0.9892377466119405,13.46937790057924,3.9085596648312975,Mid,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.0160723227778086,14.45861564719118,4.109846754083863,Mid,Short,Medium,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.3784020483685685,15.47468796996899,1.4305859744099758,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.3781655392702578,15.853090018337559,1.5212209323351467,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.9357419593650365,16.231255557607817,3.866266229258189,Mid,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.45054302448746936,17.166997516972852,1.611957069321602,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.4201088599662428,17.617540541460322,1.631637273639283,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.8454039439039219,18.037649401426563,3.2354270157025997,Mid,Short,Close,rush_hour
